ReportDte,StateCd,SA4Cd2016,SA4Nm2016,PrtcpntCnt
30-Jun-21,MIS,-,Other,21
30-Jun-21,NSW,-,Other,74
30-Jun-21,NSW,101,Capital Region,4546
30-Jun-21,NSW,102,Central Coast,8305
30-Jun-21,NSW,103,Central West,4469
30-Jun-21,NSW,104,Coffs Harbour - Grafton,3276
30-Jun-21,NSW,105,Far West and Orana,2598
30-Jun-21,NSW,106,Hunter Valley exc Newcastle,7994
30-Jun-21,NSW,107,Illawarra,6137
30-Jun-21,NSW,108,Mid North Coast,5976
30-Jun-21,NSW,109,Murray,2810
30-Jun-21,NSW,110,New England and North West,3897
30-Jun-21,NSW,111,Newcastle and Lake Macquarie,10783
30-Jun-21,NSW,112,Richmond - Tweed,5760
30-Jun-21,NSW,113,Riverina,3324
30-Jun-21,NSW,114,Southern Highlands and Shoalhaven,3319
30-Jun-21,NSW,115,Sydney - Baulkham Hills and Hawkesbury,3217
30-Jun-21,NSW,116,Sydney - Blacktown,7462
30-Jun-21,NSW,117,Sydney - City and Inner South,3297
30-Jun-21,NSW,118,Sydney - Eastern Suburbs,2597
30-Jun-21,NSW,119,Sydney - Inner South West,8794
30-Jun-21,NSW,120,Sydney - Inner West,3282
30-Jun-21,NSW,121,Sydney - North Sydney and Hornsby,4249
30-Jun-21,NSW,122,Sydney - Northern Beaches,2908
30-Jun-21,NSW,123,Sydney - Outer South West,6567
30-Jun-21,NSW,124,Sydney - Outer West and Blue Mountains,7655
30-Jun-21,NSW,125,Sydney - Parramatta,7756
30-Jun-21,NSW,126,Sydney - Ryde,2555
30-Jun-21,NSW,127,Sydney - South West,8172
30-Jun-21,NSW,128,Sydney - Sutherland,3111
30-Jun-21,NT,-,Other,18
30-Jun-21,NT,701,Darwin,2449
30-Jun-21,NT,702,Northern Territory - Outback,1729
30-Jun-21,OT,901,Other Territories,41
30-Jun-21,QLD,-,Other,66
30-Jun-21,QLD,301,Brisbane - East,4245
30-Jun-21,QLD,302,Brisbane - North,3546
30-Jun-21,QLD,303,Brisbane - South,5119
30-Jun-21,QLD,304,Brisbane - West,2604
30-Jun-21,QLD,305,Brisbane Inner City,3008
30-Jun-21,QLD,306,Cairns,4157
30-Jun-21,QLD,307,Darling Downs - Maranoa,2383
30-Jun-21,QLD,308,Central Queensland,5056
30-Jun-21,QLD,309,Gold Coast,9719
30-Jun-21,QLD,310,Ipswich,8249
30-Jun-21,QLD,311,Logan - Beaudesert,6762
30-Jun-21,QLD,312,Mackay - Isaac - Whitsunday,3108
30-Jun-21,QLD,313,Moreton Bay - North,5970
30-Jun-21,QLD,314,Moreton Bay - South,3801
30-Jun-21,QLD,315,Queensland - Outback,1027
30-Jun-21,QLD,316,Sunshine Coast,6645
30-Jun-21,QLD,317,Toowoomba,3940
30-Jun-21,QLD,318,Townsville,5328
30-Jun-21,QLD,319,Wide Bay,8009
30-Jun-21,SA,-,Other,13
30-Jun-21,SA,401,Adelaide - Central and Hills,5069
30-Jun-21,SA,402,Adelaide - North,13259
30-Jun-21,SA,403,Adelaide - South,8986
30-Jun-21,SA,404,Adelaide - West,5217
30-Jun-21,SA,405,Barossa - Yorke - Mid North,2512
30-Jun-21,SA,406,South Australia - Outback,1777
30-Jun-21,SA,407,South Australia - South East,4201
30-Jun-21,TAS,-,Other,0
30-Jun-21,TAS,601,Hobart,4570
30-Jun-21,TAS,602,Launceston and North East,3049
30-Jun-21,TAS,603,South East,533
30-Jun-21,TAS,604,West and North West,2503
30-Jun-21,VIC,-,Other,47
30-Jun-21,VIC,201,Ballarat,4147
30-Jun-21,VIC,202,Bendigo,4723
30-Jun-21,VIC,203,Geelong,8881
30-Jun-21,VIC,204,Hume,4134
30-Jun-21,VIC,205,Latrobe - Gippsland,6957
30-Jun-21,VIC,206,Melbourne - Inner,7371
30-Jun-21,VIC,207,Melbourne - Inner East,5114
30-Jun-21,VIC,208,Melbourne - Inner South,5755
30-Jun-21,VIC,209,Melbourne - North East,10525
30-Jun-21,VIC,210,Melbourne - North West,8736
30-Jun-21,VIC,211,Melbourne - Outer East,10603
30-Jun-21,VIC,212,Melbourne - South East,14482
30-Jun-21,VIC,213,Melbourne - West,16258
30-Jun-21,VIC,214,Mornington Peninsula,6754
30-Jun-21,VIC,215,North West,3621
30-Jun-21,VIC,216,Shepparton,3302
30-Jun-21,VIC,217,Warrnambool and South West,3091
30-Jun-21,WA,-,Other,21
30-Jun-21,WA,501,Bunbury,3379
30-Jun-21,WA,502,Mandurah,1743
30-Jun-21,WA,503,Perth - Inner,1871
30-Jun-21,WA,504,Perth - North East,5355
30-Jun-21,WA,505,Perth - North West,7853
30-Jun-21,WA,506,Perth - South East,8087
30-Jun-21,WA,507,Perth - South West,6919
30-Jun-21,WA,509,Western Australia - Wheat Belt,1949
30-Jun-21,WA,510,Western Australia - Outback (North),1253
30-Jun-21,WA,511,Western Australia - Outback (South),1521
31-Mar-21,ACT,-,Other,0
31-Mar-21,ACT,801,Australian Capital Territory,8380
31-Mar-21,MIS,-,Other,0
31-Mar-21,NSW,-,Other,50
31-Mar-21,NSW,101,Capital Region,4461
31-Mar-21,NSW,102,Central Coast,8094
31-Mar-21,NSW,103,Central West,4332
31-Mar-21,NSW,104,Coffs Harbour - Grafton,3151
31-Mar-21,NSW,105,Far West and Orana,2491
31-Mar-21,NSW,106,Hunter Valley exc Newcastle,7787
31-Mar-21,NSW,107,Illawarra,5935
31-Mar-21,NSW,108,Mid North Coast,5772
31-Mar-21,NSW,109,Murray,2706
31-Mar-21,NSW,110,New England and North West,3753
31-Mar-21,NSW,111,Newcastle and Lake Macquarie,10516
31-Mar-21,NSW,112,Richmond - Tweed,5576
31-Mar-21,NSW,113,Riverina,3239
31-Mar-21,NSW,114,Southern Highlands and Shoalhaven,3250
31-Mar-21,NSW,115,Sydney - Baulkham Hills and Hawkesbury,3101
31-Mar-21,NSW,116,Sydney - Blacktown,7165
31-Mar-21,NSW,117,Sydney - City and Inner South,3171
31-Mar-21,NSW,118,Sydney - Eastern Suburbs,2511
31-Mar-21,NSW,119,Sydney - Inner South West,8512
31-Mar-21,NSW,120,Sydney - Inner West,3164
31-Mar-21,NSW,121,Sydney - North Sydney and Hornsby,4135
31-Mar-21,NSW,122,Sydney - Northern Beaches,2822
31-Mar-21,NSW,123,Sydney - Outer South West,6295
31-Mar-21,NSW,124,Sydney - Outer West and Blue Mountains,7454
31-Mar-21,NSW,125,Sydney - Parramatta,7454
31-Mar-21,NSW,126,Sydney - Ryde,2487
31-Mar-21,NSW,127,Sydney - South West,7849
31-Mar-21,NSW,128,Sydney - Sutherland,2988
31-Mar-21,NT,-,Other,13
31-Mar-21,NT,701,Darwin,2327
31-Mar-21,NT,702,Northern Territory - Outback,1651
31-Mar-21,OT,901,Other Territories,37
31-Mar-21,QLD,-,Other,53
31-Mar-21,QLD,301,Brisbane - East,4064
31-Mar-21,QLD,302,Brisbane - North,3434
31-Mar-21,QLD,303,Brisbane - South,4886
31-Mar-21,QLD,304,Brisbane - West,2501
31-Mar-21,QLD,305,Brisbane Inner City,2860
31-Mar-21,QLD,306,Cairns,3955
31-Mar-21,QLD,307,Darling Downs - Maranoa,2265
31-Mar-21,QLD,308,Central Queensland,4803
31-Mar-21,QLD,309,Gold Coast,9246
31-Mar-21,QLD,310,Ipswich,7932
31-Mar-21,QLD,311,Logan - Beaudesert,6390
31-Mar-21,QLD,312,Mackay - Isaac - Whitsunday,2992
31-Mar-21,QLD,313,Moreton Bay - North,5659
31-Mar-21,QLD,314,Moreton Bay - South,3585
31-Mar-21,QLD,315,Queensland - Outback,984
31-Mar-21,QLD,316,Sunshine Coast,6345
31-Mar-21,QLD,317,Toowoomba,3813
31-Mar-21,QLD,318,Townsville,5148
31-Mar-21,QLD,319,Wide Bay,7719
31-Mar-21,SA,-,Other,0
31-Mar-21,SA,401,Adelaide - Central and Hills,4886
31-Mar-21,SA,402,Adelaide - North,12850
31-Mar-21,SA,403,Adelaide - South,8664
31-Mar-21,SA,404,Adelaide - West,5023
31-Mar-21,SA,405,Barossa - Yorke - Mid North,2416
31-Mar-21,SA,406,South Australia - Outback,1728
31-Mar-21,SA,407,South Australia - South East,4031
31-Mar-21,TAS,-,Other,0
31-Mar-21,TAS,601,Hobart,4429
31-Mar-21,TAS,602,Launceston and North East,2919
31-Mar-21,TAS,603,South East,504
31-Mar-21,TAS,604,West and North West,2414
31-Mar-21,VIC,-,Other,56
31-Mar-21,VIC,201,Ballarat,4027
31-Mar-21,VIC,202,Bendigo,4573
31-Mar-21,VIC,203,Geelong,8673
31-Mar-21,VIC,204,Hume,4021
31-Mar-21,VIC,205,Latrobe - Gippsland,6742
31-Mar-21,VIC,206,Melbourne - Inner,7060
31-Mar-21,VIC,207,Melbourne - Inner East,4956
31-Mar-21,VIC,208,Melbourne - Inner South,5534
31-Mar-21,VIC,209,Melbourne - North East,10206
31-Mar-21,VIC,210,Melbourne - North West,8454
31-Mar-21,VIC,211,Melbourne - Outer East,10404
31-Mar-21,VIC,212,Melbourne - South East,13965
31-Mar-21,VIC,213,Melbourne - West,15507
31-Mar-21,VIC,214,Mornington Peninsula,6513
31-Mar-21,VIC,215,North West,3500
31-Mar-21,VIC,216,Shepparton,3183
31-Mar-21,VIC,217,Warrnambool and South West,3001
31-Mar-21,WA,-,Other,0
31-Mar-21,WA,501,Bunbury,3269
31-Mar-21,WA,502,Mandurah,1667
31-Mar-21,WA,503,Perth - Inner,1779
31-Mar-21,WA,504,Perth - North East,5219
31-Mar-21,WA,505,Perth - North West,7577
31-Mar-21,WA,506,Perth - South East,7737
31-Mar-21,WA,507,Perth - South West,6714
31-Mar-21,WA,509,Western Australia - Wheat Belt,1874
31-Mar-21,WA,510,Western Australia - Outback (North),1198
31-Mar-21,WA,511,Western Australia - Outback (South),1426
