Year,State,Key,Region name,Active participants
2020,VIC,203,Geelong,8469
2020,VIC,204,Hume,3888
2020,VIC,205,Latrobe - Gippsland,6539
2020,VIC,206,Melbourne - Inner,6871
2020,VIC,207,Melbourne - Inner East,4836
2020,VIC,208,Melbourne - Inner South,5381
2020,VIC,209,Melbourne - North East,9923
2020,VIC,210,Melbourne - North West,8152
2020,VIC,211,Melbourne - Outer East,10161
2020,VIC,212,Melbourne - South East,13502
2020,VIC,213,Melbourne - West,14669
2020,VIC,214,Mornington Peninsula,6288
2020,VIC,215,North West,3380
2020,VIC,216,Shepparton,3072
2020,VIC,217,Warrnambool and South West,2914
2020,WA,501,Bunbury,3128
2020,WA,502,Mandurah,1631
2020,WA,503,Perth - Inner,1676
2020,WA,504,Perth - North East,5038
2020,WA,505,Perth - North West,7214
2020,WA,506,Perth - South East,7409
2020,WA,507,Perth - South West,6428
2020,WA,509,Western Australia - Wheat Belt,1785
2020,WA,510,Western Australia - Outback (North),1142
2020,WA,511,Western Australia - Outback (South),1350
2019,ACT,801,Australian Capital Territory,7257
2019,NSW,101,Capital Region,3759
2019,NSW,102,Central Coast,6609
2019,NSW,103,Central West,3480
2019,NSW,104,Coffs Harbour - Grafton,2483
2019,NSW,105,Far West and Orana,1970
2019,NSW,106,Hunter Valley exc Newcastle,6389
2019,NSW,107,Illawarra,4709
2019,NSW,108,Mid North Coast,4565
2019,NSW,109,Murray,2057
2019,NSW,110,New England and North West,3148
2019,NSW,111,Newcastle and Lake Macquarie,9204
2019,NSW,112,Richmond - Tweed,4413
2019,NSW,113,Riverina,2649
2019,NSW,114,Southern Highlands and Shoalhaven,2737
2019,NSW,115,Sydney - Baulkham Hills and Hawkesbury,2503
2019,NSW,116,Sydney - Blacktown,5621
2019,NSW,117,Sydney - City and Inner South,2558
2019,NSW,118,Sydney - Eastern Suburbs,2014
2019,NSW,119,Sydney - Inner South West,6789
2019,NSW,120,Sydney - Inner West,2557
2019,NSW,121,Sydney - North Sydney and Hornsby,3333
2019,NSW,122,Sydney - Northern Beaches,2331
2019,NSW,123,Sydney - Outer South West,5040
2019,NSW,124,Sydney - Outer West and Blue Mountains,6066
2019,NSW,125,Sydney - Parramatta,5997
2019,NSW,126,Sydney - Ryde,2067
2019,NSW,127,Sydney - South West,6115
2019,NSW,128,Sydney - Sutherland,2409
2019,NT,701,Darwin,1603
2019,NT,702,Northern Territory - Outback,1215
2019,OT,901,Other Territories,23
2019,QLD,301,Brisbane - East,2756
2019,QLD,302,Brisbane - North,2385
2019,QLD,303,Brisbane - South,3411
2019,QLD,304,Brisbane - West,1696
2019,QLD,305,Brisbane Inner City,2003
2019,QLD,306,Cairns,2733
2019,QLD,307,Darling Downs - Maranoa,1782
2019,QLD,308,Central Queensland,3477
2019,QLD,309,Gold Coast,5848
2019,QLD,310,Ipswich,5924
2019,QLD,311,Logan - Beaudesert,4108
2019,QLD,312,Mackay - Isaac - Whitsunday,2380
2019,QLD,313,Moreton Bay - North,3425
2019,QLD,314,Moreton Bay - South,2275
2019,QLD,315,Queensland - Outback,680
2019,QLD,316,Sunshine Coast,3905
2019,QLD,317,Toowoomba,3131
2019,QLD,318,Townsville,4268
2019,QLD,319,Wide Bay,5382
2019,SA,401,Adelaide - Central and Hills,3812
2019,SA,402,Adelaide - North,10140
2019,SA,403,Adelaide - South,6715
2019,SA,404,Adelaide - West,3984
2019,SA,405,Barossa - Yorke - Mid North,2006
2019,SA,406,South Australia - Outback,1298
2019,SA,407,South Australia - South East,3177
2019,TAS,601,Hobart,3280
2019,TAS,602,Launceston and North East,2121
2019,TAS,603,South East,371
2019,TAS,604,West and North West,1907
2019,VIC,201,Ballarat,3322
2019,VIC,202,Bendigo,3434
2019,VIC,203,Geelong,7502
2019,VIC,204,Hume,3166
2019,VIC,205,Latrobe - Gippsland,5099
2019,VIC,206,Melbourne - Inner,5337
2019,VIC,207,Melbourne - Inner East,3962
2019,VIC,208,Melbourne - Inner South,4082
2019,VIC,209,Melbourne - North East,8284
2019,VIC,210,Melbourne - North West,6091
